,Content,quality,smell,shipping,packing,price,others,processed_content
6577,chất lượng sản phẩm ok nha mọi người nên mua nhé giảo nhanh đủ hàng,2.0,,2.0,,,,chất_lượng sản_phẩm ok nha mọi người nên mua nhé giảo nhanh đủ hàng
10579,da mình là da mỏng nổi gân máu vs nhạy cảm mình xài dc vài bữa roy mình thấy ok rửa mặt xong da ko bị quá khô da nhạy cảm mà còn mỏng như mình còn xài dc á mọi người nên mua thử,2.0,,,,,,da mình là da mỏng nổi gân máu vs nhạy_cảm mình xài dc vài bữa roy mình thấy ok rửa mặt xong da ko bị quá khô da nhạy_cảm mà_còn mỏng như mình còn xài dc á mọi người nên mua thử
13900,cảm giác rửa mặt k sạch được cái dịu nhẹ và k gây khô da sau rửa mặt,1.0,,,,,,cảm_giác rửa mặt k sạch được cái dịu nhẹ và k gây khô da sau rửa mặt
8940,"chai sữa rửa mặt k có seal dán bị bung nắp các sản phẩm còn lại đóng gói cẩn thận
đã mua nhiều lần",,,,2.0,,0.0,chai sữa rửa mặt k có seal dán bị bung nắp các sản_phẩm còn lại đóng_gói cẩn_thận đã mua nhiều lần
2115,"Mình bị dị ứng với sp này, dù trước đây da mình rất khoẻ. Check thì hàng chính hãng, nhưng tiếc da mình kh hợp. Lên mụn đủ loại luôn, để gần 1 tuần chưa thấy giảm",,,,,,1.0,mình bị dị_ứng với sp này dù trước_đây da mình rất khoẻ check thì hàng chính hãng nhưng tiếc da mình kh hợp lên mụn đủ loại luôn để gần 1 tuần chưa thấy giảm
5795,đóng gói sản phẩm đẹpthời gian giao hang nhanh irur,,,2.0,2.0,,,đóng_gói sản_phẩm đẹpthời gian giao hang nhanh irur
13425,đã mua lần 2 nên rất yên tâm shop giao hàng nhanh đóng gói kĩ nha mn,,,2.0,2.0,,,đã mua lần 2 nên rất yên_tâm shop giao hàng nhanh đóng_gói kĩ nha mn
7131,Sp dùng rất thích. Rửa xong thấy da mướt và mềm hơn. Rất nhẹ nhàng cho da,2.0,,,,,,sp dùng rất thích rửa xong thấy da mướt và mềm hơn rất nhẹ_nhàng cho da
8138,Dịu nhẹ an toàn cho da nhạy cảm,2.0,,,,,,dịu nhẹ an_toàn cho da nhạy_cảm
5491,đóng gói cẩn thận chưa dùng thử nhưng nghe review xài rất oke nên mua,,,,2.0,,,đóng_gói cẩn_thận chưa dùng thử nhưng nghe review xài rất oke nên mua
10611,dùng thử thấy da mặt bị bong và khô k như loại sữa rửa mặt vẫn dùng,0.0,,,,,,dùng thử thấy da mặt bị bong và khô k như loại sữa rửa mặt vẫn dùng
618,đóng gói kĩ giao nhanh mua của mall nên cũng yên tâm sẽ ủng hộ tiếp,,,2.0,2.0,,,đóng_gói kĩ giao nhanh mua của mall nên cũng yên_tâm sẽ ủng_hộ tiếp
9575,chai hơi móp tem dán bị lỗi không có tem chống giả,,,,,,0.0,chai hơi móp tem dán bị lỗi không có tem chống giả
8408,Sao đua sản phẩm hết hạn cho minh vui lòng đôi lai,,,,,,0.0,sao đua sản_phẩm hết hạn cho minh vui_lòng đôi lai
7757,đóng gói kĩ càng có hdss sản phẩm đẹp chất lượng tốt,2.0,,,2.0,,2.0,đóng_gói kĩ_càng có hdss sản_phẩm đẹp chất_lượng tốt
14780,chai này khá ổn mình sài đến chai thứ 2 rồi cảm giác sau khi rửa mặt cảm giác mặt ẩm mịn không quá khô,2.0,,,,,,chai này khá ổn mình sài đến chai thứ 2 rồi cảm_giác sau khi rửa mặt cảm_giác mặt ẩm mịn không quá khô
3396,da dầu mụn xài bao ưng luôn ạ sẽ tiếp tục ủng hộ shop,2.0,,,,,,da_dầu mụn xài bao ưng luôn ạ sẽ tiếp_tục ủng_hộ shop
1600,đã dùng hết 2 tuýp srm này rồi mùa đông thì vẫn hơi khô nhưng mù hè dùng thì hợp lý nha mình dùng quen rồi nên thấy mùi cũng bình thường không khó chịu,2.0,0.0,,,,,đã dùng hết 2 tuýp srm này rồi mùa đông thì vẫn hơi khô nhưng mù hè dùng thì hợp_lý nha mình dùng quen rồi nên thấy mùi cũng bình_thường không khó_chịu
10358,đóng gói hàng cẩn thận giao hàng nhanh hàng chính hãng rửa mặt dịu nhẹ mát,2.0,,2.0,2.0,,2.0,đóng_gói hàng cẩn_thận giao hàng nhanh hàng chính hãng rửa mặt dịu nhẹ mát
10556,đã mua quá nhiều lần ở shop rồi hàng chính hãng canh sale mua vs giá 209k cx ổn sẽ ủng hộ shop thêm,,,,,1.0,,đã mua quá nhiều lần ở shop rồi hàng chính hãng canh sale mua vs giá 209k cx ổn sẽ ủng_hộ shop thêm
1615,sản phẩm tốt. mua lần 2 rồi,2.0,,,,,,sản_phẩm tốt mua lần 2 rồi
1752,đóng hàng kĩ rất ưng ý,,,,2.0,,,đóng hàng kĩ rất ưng_ý
9815,dùng cho da dầu sau khi rửa mk vẫn thấy hơi rít,0.0,,,,,,dùng cho da_dầu sau khi rửa mk vẫn thấy hơi rít
2040,"Sản Phẩm tốt, giao hàng trễ hơn 1 tháng do dịch bệnh, hộp đựng sản phẩm nát như tương.",2.0,,1.0,0.0,,,sản_phẩm tốt giao hàng trễ hơn 1 tháng do dịch_bệnh hộp đựng sản_phẩm nát như tương
2083,đóng gói sp cẩn thận đẹp chất lượng y như qc giao hàng nhanh k quên tặng shop 5sao sẽ ủng hộ tiếp tục lần sau,2.0,,2.0,2.0,,,đóng_gói sp cẩn_thận đẹp chất_lượng y_như qc giao hàng nhanh k quên tặng shop 5sao sẽ ủng_hộ tiếp_tục lần sau
9053,đóng bọc kỹ vận chuyển nhanh hàng chưa chưa dùng nhưng nghe review chất lượng,,,2.0,2.0,,,đóng bọc kỹ vận_chuyển nhanh hàng chưa chưa dùng nhưng nghe review chất_lượng
13667,"Mình dùng cảm giác nhẹ, sạch phù hợp cho người da dầu, mụn",2.0,,,,,,mình dùng cảm_giác nhẹ sạch phù_hợp cho người da_dầu mụn
6199,dùng sạch nhưng sau khi rửa xong thì hơi khô mình dùng tuýp 200ml mấy năm rồi nên giờ qđ đổi qua full size luôn,1.0,,,,,,dùng sạch nhưng sau khi rửa xong thì hơi khô mình dùng tuýp 200ml mấy năm rồi nên giờ qđ đổi qua full size luôn
10827,đóng gói cẩn thận chất lượng thì khỏi bàn vì mình xài mấy lần rồi,2.0,,,2.0,,,đóng_gói cẩn_thận chất_lượng thì khỏi bàn vì mình xài mấy lần rồi
9648,đóng gói hàng cẩn thận chất lượng sản phẩm ưng ý đã mua lần thứnv lhdorax mhxkyi,2.0,,,2.0,,,đóng_gói hàng cẩn_thận chất_lượng sản_phẩm ưng_ý đã mua lần thứnv lhdorax mhxkyi
13138,dùng lần 3 sữa rửa mặt này rồi sale 6 tháng 6 nên mình săn được rẻ cực nữa hehe,2.0,,,,2.0,,dùng lần 3 sữa rửa mặt này rồi sale 6 tháng 6 nên mình săn được rẻ cực nữa hehe
5147,chất lượng sản ohaamr tốt giao hàng nhanh và gói hàng cẩn thận,2.0,,2.0,2.0,,,chất_lượng sản ohaamr tốt giao hàng nhanh và gói hàng cẩn_thận
11264,Mình thuộc da nhạy cảm nên em này là best choice vs mình luôn mua ở Tiki luôn yên tâm về chất lượng ? Hàng giao nhanh,2.0,,2.0,,,,mình thuộc da nhạy_cảm nên em này là best choice vs mình luôn mua ở tiki luôn yên_tâm về chất_lượng hàng giao nhanh
675,đóng gói cẩn thận giao hàng nhanh mua được giá sale khá hài lòng còn được tặng kèm qà tặng,,,2.0,2.0,2.0,2.0,đóng_gói cẩn_thận giao hàng nhanh mua được giá sale khá hài_lòng còn được tặng kèm qà tặng
2545,không biết có phải do lọ quá to ko mà chỉ còn 1 nửa,,,,,,1.0,không biết có phải do lọ quá to ko mà chỉ còn 1 nửa
4371,dùng đến lọ sữa rửa mặt thứ 3 rồi mọi người ơi đóng gói tạm ổn luôn ủng hộ laroche posay,2.0,,,2.0,,,dùng đến lọ sữa rửa mặt thứ 3 rồi mọi người ơi đóng_gói tạm ổn luôn ủng_hộ laroche posay
12569,"date cận
giao nhanh
đóng gói chưa kĩ",,,2.0,0.0,,2.0,date cận giao nhanh đóng_gói chưa kĩ
3999,sản phẩm còn date rất lâu.Chất lượng tuyệt vời! ủng hộ tiki,2.0,,,,,2.0,sản_phẩm còn date rất lâu chất_lượng tuyệt_vời ủng_hộ tiki
14356,"Đã sử dụng và không thấy bị khô, mát mát, thơm thơm, giao hàng siêu nhanh, tuy nhiên mở thùng ra nhìn bề ngoài sản phẩm hơi cũ, tem mác hơi trày xước và bẩn nên cho 4 sao",2.0,,2.0,,,0.0,đã sử_dụng và không thấy bị khô mát mát thơm thơm giao hàng siêu nhanh tuy_nhiên mở thùng ra nhìn bề_ngoài sản_phẩm hơi cũ tem mác hơi trày xước và bẩn nên cho 4 sao
6014,ship hàng nhanh.. đóng gói cẩn thận ... bọc cả miếng chống sốc nữa .. hài lòng lắm luôn,,,2.0,2.0,,,ship hàng nhanh đóng_gói cẩn_thận bọc cả miếng chống sốc nữa hài_lòng lắm luôn
5096,"Sữa rửa mặt thích nhất, không hề khô da nhưng vẫn đủ để làm sạch nhờ bụi trên da mặt, đối với bản thân mình thì đây là srm ổn nhất",2.0,,,,,,sữa rửa mặt thích nhất không hề khô da nhưng vẫn đủ để làm sạch nhờ bụi trên da mặt đối_với bản_thân mình thì đây là srm ổn nhất
175,"sản phẩm có tặng kèm lưới tạo bọt nhưng đến khi khui sản phẩm ra thì k hề có, cảm giác như bị lừa í",,,,,,0.0,sản_phẩm có tặng kèm lưới tạo bọt nhưng đến khi khui sản_phẩm ra thì k hề có cảm_giác như bị lừa í
14393,chai thứ 4 r ắ tr ơi tốn tiền quá nói chung xài lên dưỡng cho ẩm ko bị sần sùi mướt da,2.0,,,,,,chai thứ 4 r ắ tr ơi tốn tiền quá nói_chung xài lên dưỡng cho ẩm ko bị sần_sùi mướt da
2208,đóng gói sơ sài srm dạng gel trong suốt hàng real,,,,0.0,,,đóng_gói sơ_sài srm dạng gel trong suốt hàng real
3609,"đã nhận được gói hàng
đóng gói cẩn thận chuẩn hasaki
tuy nhiên gói hàng hơi lâu 
chưa dùng nên sau khi dùng sẽ quay lại feedback sau
cứ cho trc 5 sao",,,,2.0,,,đã nhận được gói hàng đóng_gói cẩn_thận chuẩn hasaki tuy_nhiên gói hàng hơi lâu chưa dùng nên sau khi dùng sẽ quay lại feedback sau cứ cho trc 5 sao
11818,đã nhận được hàng mà lỡ mang tặng mất rồi tuýp to bự luôn mua sale giá rẻ hơn được chút bên giao hàng thân thiện trải nghiệm mua hàng,,,2.0,,2.0,2.0,đã nhận được hàng mà lỡ mang tặng mất rồi tuýp to bự luôn mua sale giá rẻ hơn được chút bên giao hàng thân_thiện trải_nghiệm mua hàng
13071,cha thay sạch gi cả..  chán ko them s,0.0,,,,,,cha thay sạch gi cả chán ko them s
3787,chất lượng sản phẩm tuyệt vời nên mua lần tiếp,2.0,,,,,,chất_lượng sản_phẩm tuyệt_vời nên mua lần tiếp
14956,chất lượng tốt dung dịch keo vừa phải ko bết dính thẩm thấu nhanh video mang tính chất giải trí và lấy xu,2.0,,,,,,chất_lượng tốt dung_dịch keo vừa_phải ko bết dính thẩm_thấu nhanh video mang tính_chất giải_trí và lấy xu
10684,"Da mình thuộc thể loại da nhờn. Kem khá sánh và mịn hơn so với một vài dòng sản phẩm thông thường khác. Khi sử dụng sản phẩm, lúc mới rửa da mặt có cảm giác sạch, không rít, không ngứa da, tuy nhiên lại rất nhanh da bị nhờn trở lại (tầm khoảng 1-2h). Mình không thích sản phẩm này cho lắm.",0.0,,,,,,da mình thuộc thể_loại da nhờn kem khá sánh và mịn hơn so với một_vài dòng sản_phẩm thông_thường khác khi sử_dụng sản_phẩm lúc mới rửa da mặt có cảm_giác sạch không rít không ngứa da tuy_nhiên lại rất nhanh da bị nhờn trở_lại tầm khoảng 1 2h mình không thích sản_phẩm này cho lắm
6458,đóng gói kĩ càng số lượng hàng đầy đủ shop mall nên rất yên tâm nha,,,,2.0,,2.0,đóng_gói kĩ_càng số_lượng hàng đầy_đủ shop mall nên rất yên_tâm nha
2225,"Sữa rửa mặt dịu nhẹ, không kích ứng.",2.0,,,,,,sữa rửa mặt dịu nhẹ không_kích ứng
3049,dùng nhiều lần rồi hàng ok chính hãng mấy năm vẫn dùng em này ko thay em khac đc vừa giá tiền lại dùng thích sẽ tiếp tục ủng hộ shop,2.0,,,,,2.0,dùng nhiều lần rồi hàng ok chính hãng mấy năm vẫn dùng em này ko thay em khac đc vừa giá tiền lại dùng thích sẽ tiếp_tục ủng_hộ shop
296,đóng gói rất cẩn thận giao hàng nhanh 3 bữa nhận được hàng rồi ạ hàng chính hãng sẽ ủng hộ shop lâu dài ạ,,,2.0,2.0,,2.0,đóng_gói rất cẩn_thận giao hàng nhanh 3 bữa nhận được hàng rồi ạ hàng chính hãng sẽ ủng_hộ shop lâu_dài ạ
1126,cảm nhận lần đầu là cầm chắc tay anh shipper thân thiện lắm chưa dùng thuer nên có lẽ sẽ review chi tiết sau ạ,,,2.0,,,1.0,cảm_nhận lần đầu là cầm_chắc tay anh shipper thân_thiện lắm chưa dùng thuer nên có_lẽ sẽ review chi_tiết sau ạ
8482,đóng gói cẩn thận lần đầu mua nên chưa có trải nghiệm mùi thơm dạng gel,1.0,2.0,,2.0,,,đóng_gói cẩn_thận lần đầu mua nên chưa có trải_nghiệm mùi thơm dạng gel
14386,"bao bì chắc chắn
giao hàng rất nhanh quà tặng đầy đủ sẽ quay lại đánh giá sau khi sử dụng",,,2.0,,,2.0,bao_bì chắc_chắn giao hàng rất nhanh quà tặng đầy_đủ sẽ quay lại đánh_giá sau khi sử_dụng
12305,đóng gói tạm được mình là da dầu sử dụng rất hợp sạch sâu và kh bị quá khô sau khi sử dụng ai mới đổi srm thì da sẽ hơi căng ngay lần đầu sử dụng nhé,1.0,,,1.0,,,đo ng go i ta m đươ c mi nh la da dâ u sư du ng râ t hơ p sa ch sâu va kh bi qua khô sau khi sư du ng ai mơ i đô i srm thi da se hơi căng ngay lâ n đâ u sư du ng nhe
2441,"rửa xong cảm giác mát lạnh da se khít thích lắm ạ :v đặc biệt nếu đắp mask bùn xong rửa bằng em này thì cảm giác da sạch bong kin kít luôn, còn giảm được mụn nữa",2.0,,,,,,rửa xong cảm_giác mát lạnh da se khít thích lắm ạ v đặc_biệt nếu đắp mask bùn xong rửa bằng em này thì cảm_giác da sạch_bong kin_kít luôn còn giảm được mụn nữa
12983,"Tuy chưa sử dụng thử nhưng cũng cứ cho 5 sao vì giao hàng khá nhanh, ngoài mong đợi. Sản phẩm giống với hình mô tả. Sau khi sử dụng nếu tốt và hợp với da sẽ ủng hộ tiếp. Nhân viên giao hàng OK",,,2.0,,,2.0,tuy chưa sử_dụng thử nhưng cũng cứ cho 5 sao vì giao hàng khá nhanh ngoài mong_đợi sản_phẩm giống với hình mô_tả sau khi sử_dụng nếu tốt và hợp với da sẽ ủng_hộ tiếp nhân_viên giao hàng ok
7134,bị lỏng nắp chảy,,,,,,0.0,bị lỏng nắp chảy
1322,chai thứ 2 của mình r thấy nhẹ mặt vẫn ẩm mà giá mềm,2.0,,,,2.0,,chai thứ 2 của mình r thấy nhẹ mặt vẫn ẩm mà giá mềm
1603,trời ơi xài thích cực chỉ có điều đợi hơi lâu nhưng sp quá chất lượng nên zẫn cho 5 saooo,2.0,,0.0,,,,trời_ơi xài thích cực chỉ có_điều đợi hơi lâu nhưng sp quá chất_lượng nên zẫn cho 5 saooo
4210,cũng sài 1 lần rồi thấy cũng bth ko gây khô da không chứa xà phòng làm chậm lão hóa da nói chung mn nên dùng thử,2.0,,,,,,cũng sài 1 lần rồi thấy cũng bth ko gây khô da không chứa xà_phòng làm chậm lão_hoá da nói_chung mn nên dùng thử
11749,đã mua của shop mấy lần lần nào cũng tốt hàng có seal và giá mềm ok,2.0,,,,2.0,2.0,đã mua của shop mấy lần_lần nào cũng tốt hàng có seal và giá mềm ok
13015,đã mua lại vài lần cho ngừoi yêu giao nhanh chất lượng ok,2.0,,2.0,,,,đã mua lại vài lần cho ngừoi yêu giao nhanh chất_lượng ok
9502,đóng gói kỹ lắm lun ấy tuỵt dòie cho shop 10 đỉm lunkakaka,,,,2.0,,,đóng_gói kỹ lắm lun ấy tuỵt dòie cho shop 10 đỉm lunkakaka
4065,đóng hàng cẩn thận chắc chắn lại còn nhận đc quà khuyến mại sẽ ủng hộ shop lần sau,,,,2.0,,2.0,đóng hàng cẩn_thận chắc_chắn lại còn nhận đc quà khuyến_mại sẽ ủng_hộ shop lần sau
1294,chất lượng sản phẩm okeeeee giao hàng hơi lâuuuuuu,2.0,,0.0,,,,chất_lượng sản_phẩm okeeeee giao hàng hơi lâuuuuuu
5007,"Rửa xong mặt sạch, da mềm mượt",2.0,,,,,,rửa xong mặt sạch da mềm mượt
6069,đóng gói hàng chắc chắn kĩ càng,,,,2.0,,,đóng_gói hàng chắc_chắn kĩ_càng
6386,chất lượng sản phẩm tuyệt vời đóng gói chắc chắn an toàn đẹp,2.0,,,2.0,,,chất_lượng sản_phẩm tuyệt_vời đóng_gói chắc_chắn an_toàn đẹp
14130,đóng gói cẩn thận loại này dùng rồi thấy ok nên mua dùng tiếp rất khuyên dùng cho da khô chai 88ml nhỏ gọn hợp đi du lịch,2.0,,,2.0,,,đóng_gói cẩn_thận loại này dùng rồi thấy ok nên mua dùng tiếp rất khuyên dùng cho da khô chai 88ml nhỏ gọn hợp đi du_lịch
12304,đặt hàng của shop 3 lần roi chất lượng oki giao hàng nhanh được tặng quà khi có ngày sale lần sau sẽ ủng hộ shop tiếp,1.0,,2.0,,2.0,,đặt_hàng của shop 3 lần roi chất_lượng oki giao hàng nhanh được tặng quà khi có ngày sale lần sau sẽ ủng_hộ shop tiếp
7144,đóng gói hàng không được cẩn thận,,,,0.0,,,đóng_gói hàng không được cẩn_thận
4071,"Rửa xong thấy mặt sạch, cảm giác căng vừa phải, dễ chịu, không kích ứng ngứa rát",2.0,,,,,,rửa xong thấy mặt sạch cảm_giác căng vừa_phải dễ_chịu không_kích ứng ngứa rát
1507,đã dùg thử gần 1 tháng khá ok giao hàng cũng nhanh cho shop 5 sao hình ảnh và video mang tính chất minh họa,2.0,,2.0,,,,đã dùg thử gần 1 tháng khá ok giao hàng cũng nhanh cho shop 5 sao hình_ảnh và video mang tính_chất minh_hoạ
8759,"Bình thường, con trai rửa và bôi nhưng thấy ko hiệu quả",1.0,,,,,,bình_thường con trai rửa và bôi nhưng thấy ko hiệu_quả
1559,dịu nhẹ sản phẩm đóng gói kĩ càng shipper thân thiện đáng mua,2.0,,2.0,2.0,,,dịu nhẹ sản_phẩm đóng_gói kĩ_càng shipper thân_thiện đáng mua
8973,đóng gói sản phẩm oke dùng cũng tốt,2.0,,,2.0,,,đóng_gói sản_phẩm oke dùng cũng tốt
5577,dùng thấy mướt lém nhe shop dễ thưn lém tặng thêm đồ cột tóc nx nek giao hàng từ nước ngoài mà zậy là nhanh r thấy có nhiều bạn bảo dùng bị lên mụn mà thấy da mik trộm vía cx đc nek nên yên tâm he,2.0,,2.0,,,,dùng thấy mướt lém nhe shop dễ thưn lém tặng thêm đồ cột tóc nx nek giao hàng từ nước_ngoài mà zậy là nhanh r thấy có nhiều bạn bảo dùng bị lên mụn mà thấy da mik trộm_vía cx đc nek nên yên_tâm he
6958,dùng đến lọ thứ mấy chả nhớ nữa nma dùng cực kì thích mình thích dùng loại này có bọt hơn là ko bọt hợp với da dầu mình da khô dùng vẫn okela ko bị kin kít hay là khô sau khi rửa dùng dc lâu nuẫ 1 em srm đáng bỏ tiền để mua ạ,2.0,,,,,,dùng đến lọ thứ mấy chả nhớ nữa nma dùng cực_kì thích mình thích dùng loại này có bọt hơn là ko bọt hợp với da_dầu mình da khô dùng vẫn okela ko bị kin_kít hay là khô sau khi rửa dùng dc lâu nuẫ 1 em srm đáng bỏ tiền để mua ạ
7286,"Mình xài nhiều loại sửa rửa mặt nhưng không hợp riêng Vichy thì tạm ổn, rửa sạch, khá dịu nhẹ nhưng thỉnh thoảng gây khô da.",2.0,,,,,,mình xài nhiều loại sửa rửa mặt nhưng không hợp riêng vichy thì tạm ổn rửa sạch khá dịu nhẹ nhưng thỉnh_thoảng gây khô da
12292,chai thứ 10000 mình dùng rồi ph thấp nên không bị khô căng giá cả hợp lý dùng được cũng lâu mua hẵng của mall nên yên tâm hàng chính hãng,2.0,,,,,,chai thứ 10000 mình dùng rồi ph thấp nên không bị khô căng giá_cả hợp_lý dùng được cũng lâu mua hẵng của mall nên yên_tâm hàng chính hãng
12181,đặt được lúc khuyến mãi nên giá rất rẻ còn được tặng thêm sản phẩm nữa sẽ ủng hộ thêm nhiều lần nữa,,,,,2.0,2.0,đặt được lúc khuyến_mãi nên giá rất rẻ còn được tặng thêm sản_phẩm nữa sẽ ủng_hộ thêm nhiều lần nữa
1836,dịu nhẹ đối với làn da nhạy cảm không quá sạch nên mng nên tẩy trang kĩ nha cảm ơn shop nhiều ạ giao hàng siêu nhanh,2.0,,2.0,,,,dịu nhẹ đối_với làn da nhạy_cảm không quá sạch nên mng nên tẩy_trang kĩ nha cảm_ơn shop nhiều ạ giao hàng siêu nhanh
5611,đóng gói sơ sài bỏ bẹp rúm nhìn hơi lởm cứ ngỡ nhận nhầm hàng thất vọng 1 chút mong shop lần sau chú ý hơn,,,,0.0,,0.0,đóng_gói sơ_sài bỏ bẹp rúm nhìn hơi lởm cứ ngỡ nhận nhầm hàng thất_vọng 1 chút mong shop lần sau chú_ý hơn
10129,Trên sản phẩm chỉ có ghi ngày sản xuất. Hãy cho tôi biết hạn sử dụng là bao nhiêu lâu kể từ ngày sản xuất. Check thông tin chỉ coi như kiểm tra được cái vỏ hộp chứ trên chai sản phẩm không có thông tin gì cả. Vì vậy cũng có chút lo lắng.,,,,,,0.0,trên sản_phẩm chỉ có ghi ngày sản_xuất hãy cho tôi biết hạn sử_dụng là bao_nhiêu lâu kể từ ngày sản_xuất check thông_tin chỉ coi như kiểm_tra được cái vỏ hộp chứ trên chai sản_phẩm không có thông_tin gì cả vì_vậy cũng có chút lo_lắng
8412,"Mùi dễ chịu,  mát",2.0,2.0,,,,,mùi dễ_chịu mát
5335,dùng cỡ 4 chai rồi ok lắm,2.0,,,,,,dùng cỡ 4 chai rồi ok lắm
1354,đóng gói kĩ ở ngoài sản phẩm ở ngoài nhìn to hơn còn chất lượng chưa dùng nên chưa biết và giao hàng nhanh,,,2.0,2.0,,,đóng_gói kĩ ở ngoài sản_phẩm ở ngoài nhìn to hơn còn chất_lượng chưa dùng nên chưa biết và giao hàng nhanh
4141,đã nhận được hàng hàng mình sử dụng rồi thấy ok nên lâu dài luôn,2.0,,,,,,đã nhận được hàng hàng mình sử_dụng rồi thấy ok nên lâu_dài luôn
11019,"Mát lạnh, thơm, cảm giác mặt được sạch sẽ",2.0,,,,,,mát lạnh thơm cảm_giác mặt được sạch_sẽ
12758,dịu nhẹ k kích ứng,2.0,,,,,,dịu nhẹ k kích_ứng
13336,"Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm đẹp, chắc chắn. Shop phục vụ tốt. Rất đáng tiền. Thời gian giao hàng rất nhanh.",2.0,,2.0,2.0,2.0,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn shop phục_vụ tốt rất đáng tiền thời_gian giao hàng rất nhanh
4844,date xa đóng gói hàng cẩn thận mình bóc mãi mới ra 400ml thì vừa rửa mặt vừa tắm,,,,2.0,,2.0,date xa đóng_gói hàng cẩn_thận mình bóc mãi mới ra 400ml thì vừa rửa mặt vừa tắm
4723,đã sử dụng sản phẩm rất quen thuộc nên luôn ủng hộ shop tuy nước ngoài nhưng shop ship hàng nhanh trong vòng 1 tuần là có,2.0,,2.0,,,,đã sử_dụng sản_phẩm rất quen_thuộc nên luôn ủng_hộ shop tuy nước_ngoài nhưng shop ship hàng nhanh trong vòng 1 tuần là có
6260,đây là lần hai mình sửa dụng ẻm rất lành tính và tốt cho da của bạn nào dầu mụn mà có kích ứng nhạy nha,2.0,,,,,,đây là lần hai mình sửa dụng ẻm rất lành_tính và tốt cho da của bạn nào dầu mụn mà có kích_ứng nhạy nha
13540,vs giá  thị  trường  thi OK han con Ít  quá  giao hang đợt  đó  nâu,,,0.0,,1.0,,vs giá thị_trường thi ok han con ít quá giao hang đợt đó nâu
3280,đã nhận được hàng quốc tế mà ship nhanh chóng srm có mùi tràm trà giống chai cũ mình mua hy vọng là dùng ổn,,2.0,2.0,,,,đã nhận được hàng quốc_tế mà ship nhanh_chóng srm có mùi tràm trà giống chai cũ mình mua hy_vọng là dùng ổn
4032,chai thứ 4 là hiểu chất lượng như nào rùi rửa xong không bị khô thích ghê mùi dễ chịu nữa dịch như này đặt 5 ngày là có mà cái vòi pump hơi khó xài phải lấy vòi chai cũ thay vào chứ chai mới vòi pump cứng k xài đc,2.0,2.0,,,,0.0,chai thứ 4 là hiểu chất_lượng như nào rùi rửa xong không bị khô thích ghê mùi dễ_chịu nữa dịch như này đặt 5 ngày là có mà cái vòi pump hơi khó xài phải lấy vòi chai cũ thay vào chứ chai mới vòi pump cứng k xài đc
6720,mk không biết cái vòi ấn bị làm sao nhưng tiki giao nhanh quá chưa đầy 1 ngày mk đặt hàng luôn í mà còn ngoại thành,,,2.0,,,0.0,mk không biê t ca i vo i â n bi la m sao nhưng tiki giao nhanh qua chưa đâ y 1 nga y mk đă t ha ng luôn i ma co n ngoa i tha nh
1235,đóng gói sản phẩm ok còn được tặng 1 cahi tẩy trang 200ml lần đầu dùng thử nên chưa biết như nào,1.0,,,2.0,,2.0,đóng_gói sản_phẩm ok còn được tặng 1 cahi tẩy_trang 200ml lần đầu dùng thử nên chưa biết như nào
8526,"Đây là loại sữa rửa mặt nhẹ dịu nhất mình từng sử dụng. Rửa xong chỉ cần lấy khăn lau hoặc rửa lại với nước là sạch, an toàn cho cả bé sơ sinh.Tiki giao hàng nhanh chóng, nhân viên giao hàng nhiệt tình, mình sẽ tiếp tục ủng hộ",2.0,,2.0,,,,đây là loại sữa rửa mặt nhẹ dịu nhất mình từng sử_dụng rửa xong chỉ cần lấy khăn lau hoặc rửa lại với nước là sạch an_toàn cho cả bé sơ_sinh tiki giao hàng nhanh_chóng nhân_viên giao hàng nhiệt_tình mình sẽ tiếp_tục ủng_hộ
8414,đã mua lần thứ 2 lần này có tặng thêm 2 tuýp gì ko để ý sẽ ủng hộ lại shop,2.0,,,,,,đã mua lần thứ 2 lần này có tặng thêm 2 tuýp gì ko để_ý sẽ ủng_hộ lại shop
10645,"Ko có hộp, mẫu vỏ mới nhưng dùng thấy khô da, ko được như mẫu cũ.",0.0,,,,,0.0,ko có hộp mẫu vỏ mới nhưng dùng thấy khô da ko được như mẫu cũ
14751,"nhân viên tư vấn ổn, giá ổn",,,,,1.0,1.0,nhân_viên tư_vấn ổn giá ổn
10184,"Rất hài lòng!
Sản phẩm như mong đợi đã dùng qua hai lọ srm của hadalabo nên mình thấy chất lượng dung dịch ok",2.0,,,,,2.0,rất hài_lòng sản_phẩm như mong_đợi đã dùng qua hai lọ srm của hadalabo nên mình thấy chất_lượng dung_dịch ok
2251,công dụng giống hình dùng ok la lần sau sẽ mua tiếp giao hàng nhâhhhhshsd,2.0,,2.0,,,,công_dụng giống hình dùng ok la lần sau sẽ mua tiếp giao hàng nhâhhhhshsd
1025,dùng khá ổn t mua chai thứ 2 rồi nên mua nhé,2.0,,,,,,dùng khá ổn t mua chai thứ 2 rồi nên mua nhé
11750,tiki giao hàng nhanh phục vụ tốt đóng gói hàng kỹ,,,2.0,2.0,,,tiki giao hàng nhanh phục_vụ tốt đóng_gói hàng kỹ
