,Content,QUALITY,SMELL,SHIPPING,PACKING,PRICE,OTHERS
780,"Đây là nhận xét của mình sau khi sử dụng em này đc 3 tuần, lúc đầu mình xài srm pone's thấy da cũng oke , nhưng thấy bạn mình khen xài em này trắng da , nên mình đặt ở Tiki thử. 2 ngày đầu mình xài thấy khá ok, nhưng sau đó da mình bắt đầu dần nổi những mảng da , giống như bị lạnh tróc da vậy đó, đánh kem dương ẩm lên mới hết đc . Nhưng vẫn tiếp tục xài smr này , hết 1 tuần da bắt đầu căng mịn trở lại, mình thấy các vết nám nhỏ trên da cũng mờ đi nữa. Rửa mặt xong thấm khô , thấy da cũng trắng . Ko biết phải do gương có sao ko. Chứ thấy càng xinh lên hihi. Cảm nhận rất tốt. Smr bọt đúng kiểu mịn , thử kéo sợi smr lúc chưa thấm thấy giống như sợi tơ vậy đó . Khá thích em này , và sẽ tiếp tục mua nữa nếu em srm kia hết hihi", Positive,,,,, Positive
781,"Sản phẩm này mình dùng tốt, da sạch, mịn, săn và thoáng, không bị kích ứng. Chỉ cần một lượng nhỏ như hạt lạc rồi xoa với nước để rửa mặt là thừa và đủ chứ không cần dùng đến 2cm như chỉ dẫn. (Còn muốn tạo nhiều bọt như quảng cáo thì mới dùng như vậy thôi) ^^ . Mình sẽ thường xuyên mua hàng của Tiki dù Tiki không có địa chỉ ở ngoài Hà Nội. Hy vọng tương lai bên Tiki sẽ có cơ sở phân phối ngoài Hà Nội để mình đỡ phải chờ đợi lâu.", Positive,,,,,
782,"Sau 1 tuần sử dụng mình thấy sản phẩm sữa rửa mặt này của senka hoàn toàn có thể làm sạch được da mặt mình, vì chỉ cần lấy 1cm sữa là có thể tạo bọt được rất nhiều rồi, da mặt của mình cũng mịn và lỗ chân lông thu nhỏ lại hơn. Mình mua được khuyến mãi tặng kèm dầu tẩy trang, mùi thơm tự nhiên, cũng làm sạch son, lớp trang điểm ( mình chỉ trang điểm nhẹ đi học thôi ) của mình rất hiệu quả. Về giao hàng của Tiki thì không còn gì để nói rồi, quá tuyệt vời luôn. Dùng hết mình sẽ lại ủng hộ Tiki sản phậm này.", Positive,,,,, Positive
783,"Nếu bạn đang do dự mua hay không mua sản phẩm này thì mình khuyên bạn mua ngay đi vì sản phẩm này của Nhật mà còn rất tốt nữa . Da mình rất xấu và mụn rất nhiều mỗi sáng rửa mặt là nổi ám ảnh rất lớn đối với mình vì trước khi biết sản phẩm này mình sd hàng của vn rẻ hơn so với sản phẩm này nhưng nó làm da mình khô nổi mụn đầy mặt nên mới ngừng sử dụng và quyết định chuyển sang em Senka này . Thật sự khá bất ngờ với hiểu quả trong 2 ngày của em nó khác biệt rõ rệt da mình trông sạch hơn và mịn màng hơn rất rất nhiều mụn thì xẹp hẳn luôn đặc biệt là không gây khô da nhé mà chất kem bên trong không loãng rất tiết kiệm nữa . Sản phẩm giá bình dân nhưng chất lượng thì không bình dân đâu nhé, mình viết vài dòng này để cảm ơn đến Tiki và Senka vì đã giúp mình có cơ hội sd tuyệt vời này . Thank you ^^", Positive,,,,, Positive
784,Rất nhiều bọt, Positive,,,,,
785,Anh shipper vừa mới giao cho mình đây. Srm thì chưa dùng. Nhưng nói chung hình thức thì ok. Test thử chai tẩy trang tặng kèm thấy thích cực í. Dù sáng giờ ở nhà không ra đường mà dùng bông thấm tẩy trang lau ra xong nó đen thui luôn hicc ( da mình là da dầu ). Đủ hiểu tẩy trang sạch cỡ nào kkk. Dùng 1 tg sẽ feedback thêm nhé. ?,,,,,, Neutral
786,"Cảm nhận đầu tiên là lớp bọt mịn như whipping cream ấy, mùi thơm nhẹ không gây khó chịu như 1 số sp đậm mùi khác. Nếu tạo bọt bằng tay thì không ra được lớp bọt bông mịn đâu, nhất định phải dùng mút hoặc cọ tạo bọt nhé. Dùng lớp bọt massgae nhẹ nhàng trên mặt thích lắm, rửa lại bằng nước sạch không bị khô da vì mình sử dụng sau khi dùng dầu tẩy trang của senka luôn. 
Với nguồn gốc xuất xứ và giá cả thì em này quá tốt, có thể sử dụng lâu dài, lại kinh tế nữa. 
Tiếc là giờ mình đặt mua thêm cho bạn thì không được tặng dụng cụ tạo bọt nữa", Positive,,,,,
787,"Mình hoàn toàn không hối hận khi mua sản phẩm này. Sữa rửa mặt perfect whip tạo nhiều bọt hơn hẳn các loại thông thường, làm sạch sâu, dưỡng ẩm tốt cộng với hương hoa nhẹ nhàng thoang thoảng rất thoải mái khi sử dụng. Bông tạo bọt tặng kèm giúp mình tạo bọt nhanh và nhiều hơn tạo bọt bằng tay một chút. Mình ưng ý nhất là dầu tẩy trang được tặng kèm, tẩy trang rất sạch khi rửa mặt thì nó nhẹ giống nước vậy, dưỡng ẩm cực kỳ tốt, hương hoa giống như của sữa rửa mặt khiến mình cảm thấy vô cùng dễ chịu ^^", Positive,,,,, Positive
788,"Vừa nhận được sản phẩm tặng kèm lưới tạo bọt và dầu tẩy trang ta nói quá hời luôn í.
Mà đọc theo hướng dẫn sử dụng bóp ra khoảng 2 cm ra lưới tạo bọt nó ra 1 đống luôn, bọt mềm mịn vô cùng, rửa mặt cực kì thích, mà rửa xong không bị khô mặt và vẫn sạch. Lần sau chỉ cần 1 chút thôi là nó đã ra bọt quá trời rồi.
Sẽ mua lại lần sau.", Positive,,,,, Positive
789,"Sp tốt Tiki giao hàng rất nhanh, shipper cũng thân thiện nữa. Lúc trước mình sài các loại srm khác hay bị căng da và khô, nhưng srm này rất ok sài có cảm giác sạch sâu và kh bị căng da, lại còn được tặng dầu tẩy trang chất lượng cũng tốt, mình sẽ mua lại nhiều lần :v", Positive,, Positive,,, Positive
790,Giao hàng nhanh. Đóng gói hàng cẩn thận. Quà tặng đầy đủ. Ngày sx ổn ???. Cho 5 sao,,, Positive, Positive,, Positive
791,rất hài lòng về sản phẩm nhưng không biết lí do vì sao mình đặt bảo là tặng lưới tạo bọt :) và mình cũng thấy rất nhiều bạn nhận được nhưng mình thì không :) lần đầu tiên thấy tiki bị kì :),,,,,, Negative
792,"Mình mới sử dụng 2 ngày thôi mà hiệu quả thấy rõ, da mình dạng da dầu sử dụng thì dầu bớt rất nhiều gần như hết hẳn dầu. Da sáng, mịn, mướt và bóng rõ rệt. Srm nhiều bọt áp lên mặt rất đã cực kì hài lòng", Positive,,,,,
793,"Rẻ, mùi thơm, chất srm rất lạ, kéo sợi như tơ tằm :3 mình dùng với cốc tạo bọt thì chỉ cần 1 hạt bắp mà ra quá trời bọt xài không hết, bọt mịn, dai, rửa mặt sạch gần như đến nỗi ""kin kit"" nhưng không hề làm khô da, mình nghĩ là đó là do bọt kĩ", Positive, Positive,,, Positive,
794,"Sữa rửa mặt Senka tạo được rất nhiều bọt lần đầu apply lên mặt mình suýt ngạt thở luôn. Mùi tơ tằm thơm nhẹ, rửa khá sạch, tuy nhiên không mang lại cảm giác sảng khoái như các loại trước mình dùng. Sản phẩm giá rẻ mà chất lượng", Positive,,,, Positive,
795,chưa nhận được hàng do hỏng điện thoại . giao lại hàng giúp mình được không ạ,,,,,, Neutral
796,"Đầu tiên phải nói đến giao hàng nhanh. Đặt hôm 6/6 hôm 7/6 giao đơn này luôn còn đơn khác đặt cùng ngày thì hôm nay mới nhận được
Dùng thích, bọt mịn êm, sạch nhưng k bị khô. Ưng ?", Positive,, Positive,,,
797,vừa nhận đc thích quá lần trước e cũng đã dùng một lọ rồi khá là sạch nhưng khi dùng với nước tẩy trang thì hơi khô nên cần dùng với nước hoa hồng, Neutral,,,,,
798,"Làm sạch sâu&nbsp;bụi bẩn, chất dư thừa, bã nhờn tích tụ lỗ chân lông giúp da sáng khỏe.Giúp trắng da, sáng da ngăn chặn các sắc tố melamin gây vết đốm, tàn nhang chống lại lão hóa trên da.", Positive,,,,,
799,"Mới mua cái Perfect về sử dụng, thấy thích quá đi. Rửa mặt sạch nhưng không gây khô da, và như có lớp giữ ẩm, da mặt rất dễ chịu. Mùi hương thoang thoảng như lạc vào rừng hoa. Mới đặt thêm 2 sản phẩm nữa để dành, còn được tặng thêm 2 chai 40g.", Positive, Positive,,,,
800,"Mình đã dùng rất nhiều loại srm và đây là sp mình ưng ý nhất. Srm tạo bọt tốt cảm giác như đang đắp mặt nạ whipped cream. Rửa mặt xong da sáng mà không bị khô da,  mình thích mùi hơn của nó. Nói chung mình sẽ trung thành với sp này.", Positive,,,,,
801,"Giao hàng cực nhanh. Sản phẩm gói kĩ, sử dụng rất tốt, mùi ok lắm ^^",, Positive, Positive, Positive,,
802,"Mình dùng đc gần 1 tháng rồi, sữa rửa mặt rửa rất thích, rửa xong ko gây khô da như loại sữa rửa mặt trà xanh của nhật, mà mua ở tiki rẻ hơn so với cửa hàng xách tay từ nhật nhiều, dùng hết mình sẽ mua tiếp", Positive,,,, Positive,
803,cái này mình mua lần thứ ba rồi. Rất hợp với da của mình. Yêu Tiki, Positive,,,,, Positive
804,"Mình mua được 4 ngày. Vì mua đợt giảm giá nhưng mà k có lưới tạo bọt nên đánh bọt bằng tay hơi lâu. Nhưng mà càng đánh càng nhiều bọt, bọt mịn màng thoa lên mặt cực thích. Mùi dễ chịu.", Positive,,,, Positive,
805,"Tiki giao hàng cực nhanh, đặt hôm trước hôm sau đã nhận được, gói hàng cực kĩ lưỡng. Mới dùng 1 lần nhưng cảm giác thích, mềm da, mùi thơm dịu sảng khoái, sau khi rửa thấy da sáng hơn, nhẹ hơn. Sẽ review lại sau 1 tuần dùng ^^", Positive,, Positive, Positive,,
806,"Mình mua được tặng kèm lưới tạo bọt. cho 1 xíu ra tay rồi tạo bọt, bọt lên nhiều lắm í. rửa xong da còn sáng lên 1 tông,sạch mịn, da không bị khô, ẩm thích lắm", Positive,,,,, Positive
807,"sd sp lần nì lần 2 r mà vẫn còn cảm giác cực thích..bởi vì sp có nhiều bọt nên lúc rửa mặt lướt trên da rất đã,bọt mịn..rửa mặt xong da ko bị kin kít mà vẫn ẩm 
ko biết mh sẽ sd đến bn tuýp nữa???", Positive,,,,,
808,"mình ít sử dụng sữa rửa mặt, thấy 1 chị bạn quen trên facebook giới thiệu, tình cờ thấy trên tiki có bán nên mua thử, dùng được gần 1 tuần thấy rất tốt, dịu nhẹ, da mình bớt khô hơn, mong có nhiều dòng sản phẩm của hãng này hơn", Positive,,,,,
809,"Dùng thích lắm, chỉ dùng 1lượng nhỏ là có thể tạo được nhiều bọt dư cho cả mặt. Đóng gói kĩ, giao hàng nhanh.", Positive,, Positive, Positive,,
810,"mua đc hàng chính hãng giá 37,500đ. răt hài lòng",,,,, Positive, Positive
811,"Sữa rửa mặt này thực sự rất tốt, làm sạch sâu, từ ngày dùng ẻm đến giờ da mặt mình luôn láng mịn, lại sáng ra nữa. 
Mùi hương dễ chịu, tuy nhiên không có tác dụng trị mụn đầu đen ở mũi đâu nhé.", Positive,,,,,
812,Đóng gói khá ok giao hàng cũng nhanh nữa,,, Positive, Positive,,
813,"Điều đầu tiên mình thấy khi dùng sp là rất dịu nhẹ. Cảm giác nhẹ nhàng tẩy rửa chứ k khó chịu, kích ứng tí nào cả. Dùng xong da mướt, mềm, mùi thơm thoang thoảng. Bọt dạng đặc. Mình sẽ mua lại sp này", Positive,,,,,
814,rửa sữa rửa mặt này thấy da mịn hơn hẳn ạ, Positive,,,,,
815,Srm tốt mịn.tạo bọt nhanh nhờ lứoi tạo bọt.k khô da như các bạn trc ns.nhưng shop tặng lứoi mà k bỏ chung vào sp mua mà lại bỏ riêng bắt chịu phí ship???, Positive,,,,, Negative
816,"Tiki giao hàng rất đảm bảo, sản phẩm sử dụng rất tốt, rửa mặt xong cảm giác rất thoải mái, có mùi thơm dễ chịu, thương hiệu Senka rất tốt đáng tin dùng", Positive, Positive,,,,
817,Đc đóng gói cẩn thận giao hàng nhanh sp của senka mình dùng rất tốt nên k cần bàn tới nhưng mình lại k nhận đc khuyến mãi hiccccc mong tiki chú ý vào lần sau hơn,,, Positive, Positive,, Negative
818,"da mình rất khó chịu, đã dùng qua đủ loại đắt tiền, nhưng khi dùng thử loại này thì thấy ok lắm lun, dự là chỉ mua loại này về sau", Positive,,,,,
819,sản phẩm tốt xài OK .giao hàng nhanh, Neutral,, Positive,,,
820,Mình là nam nhưng theo yêu cầu của bạn gái nên phải dùng sữa rửa mặt này. Cảm thấy một thời gian da mặt khá mềm và giảm mồ hôi dầu. Dùng rất tốt, Positive,,,,,
821,"SRM tạo bọt nên cảm giác rất thích. Quà tạng thì là cái ví móc khóa chứ k phải lưới tạo bọt nên cũng hơi buồn. Lần này tiki giao hàng lâu, tận hơn 2 tuần mới thấy tới, cứ tưởng bị quên luôn :))", Positive,, Negative,,, Negative
822,"Vì ko có cọ tạo bọt nên việc tạo bọt bằng tay hơi nản 1 tí mà khi mà rửa mặt thì siêu ưng. Bọt mềm mịn làm da ko bị rát, cảm giác thì cực kỳ thoải mái. Rửa xong thì cảm thấy mặt sạch hẳn. Bị thích senka mất rồi.", Positive,,,,,
823,"Tiki giao hàng nhanh, giá cả hợp lý, mình đặt thêm chai sữa chống nắng nữa nên dùng tốt lắm.",,, Positive,, Neutral,
824,"Sản phẩm dùng rất thích, lấy 1 lượng nhỏ sữa rửa mặt là đã tạo đc rất nhiều bọt nên rất tiết kiệm. Gía thành ở tiki rẻ hơn ở siêu thị. Mình rất hài lòng về sản phẩm ^^", Positive,,,, Positive,
825,"Mình xài rất ok luôn đó, both nhiều, sạch sâu cho da, yêu quá chừng, xài rất tiết kiệm, mỗi lần cài ít ít chừng hạt đậu thoi là đủ bọt khắp mặt r, mn thử liền luôn đi hêhhehehehe, khuyên thật lòng", Positive,,,,,
826,"Mua srm được tặng lưới tạo bọt, nên mặc dù srm này có độ ph cao nhưng chỉ cần tạo nhiều bọt thì sẽ không bị khô da. Bọt lên nhiều và mịn rất thích.", Positive,,,,, Neutral
827,"giao hàng nhanh, quá êm",,, Positive,,, Positive
828,"Sản phẩm rất tốt nè, thích nhất là nhiều bọt áp lên da cực đã, bọt mịn mịn sử dụng xong da cũng không khô. Giá hợp lý, Tiki giao hàng nhanh đóng gói kĩ càng ?", Positive,, Positive, Positive, Neutral,
829,sửa rửa sạch, Neutral,,,,,
830,"Là sản phẩm của Nhật, đặc biệt được phân phối bởi Tiki nên mình rất tin tưởng. Trước đây, mình đã dùng qua loại này nhưng hàng xách tay, giờ mua Tiki giá cực tiết kiệm nên sẽ tiếp tục ủng hộ.",,,,,, Positive
831,"Mình  là học sinh nên chỉ mua mấy loại SRM bình dân thôi. SRM của Nhật rẻ mà chất lượng quá tốt luôn, cảm giác da rất mềm mịn mà không bị khô. Lần sau mình sẽ mua tiếp để sử dụng.", Positive,,,, Positive,
832,"Sữa dịu nhẹ, sạch và mềm da", Positive,,,,,
833,"tốt cực luôn, mk mua 2 lọ dùng vừa lâu vừa rẻ vừa tốt nhưng lại mua lúc ko đc tặng lưới , mk h cx chỉ dùng sp này ths , rất thích hợp chonda dầu da hỗn hợp", Positive,,,,,
834,"Mình mới đặt hàng này , nhưng không được tặng kèm lưới tạo bọt , buồn quá đi. Sản phẩm rất ok , mùi hương nhẹ nhàng . Da mịn hơn sau khi rửa . Thấy rất hai lòng . Cám ơn tiki", Positive, Positive,,,, Negative
835,"chất lượng tuyệt vời, giá hợp lý
Tuy nhiên mình k nhận được quà tặng đi kèm, mặc dù đợt mình mua tiki có treo hộp quà tặng", Positive,,,, Neutral, Negative
836,"Sữa rửa mặt này hiện tại phù hợp với da mình, dùng khá là thích, nhẹ, ko gây căng da, bọt nhiều nên cảm giác lúc thoa trên mặt thích thật hihi", Positive,,,,,
837,"Tiki giao hàng nhanh. Còn tặng lưới tạo bọt nữa. Sữa rửa mặt thì ko có gì để chê rồi. :D vừa thơm, ra nhiều bọt, thoa vào da thích, còn dễ rửa sạch nữa. 
5 sao", Positive, Positive, Positive,,, Positive
838,Sửa rửa mặt rất mịn và thoải mái cho da dù là da mụn nhưng rất hiệu quả ko có dị ứng nào cả rất hợp vs mọi loại da, Positive,,,,,
839,"SRM có bọt cực kỳ mịn và nhiều, rửa mặt sạch và không khô da. Trước đây mình xài Loreal White Perfect thì cảm giác sạch nhưng khá là rít da. Senka là 1 sản phẩm thay thế tốt", Positive,,,,,
840,"sản phẩm rất ưng ý , giao hàng nhanh, gói hàng chu đáo . Mua đc combo cả lưới tạo bọt nên rất tiện lợi. Cảm ơn Tiki và sẽ ủng hộ tiki thời gian tới", Positive,, Positive, Positive,, Positive
841,"đây là srm mình ưng nhất tới giờ, chịu khó tạo bọt bông xốp, apply lên mặt thật mềm mại. Sau khi rửa xong da đảm bảo sạch mà không bị khô như srm trước đó mình dùng.", Positive,,,,,
842,Rửa sạch., Neutral,,,,,
843,giao nhanh,,, Positive,,,
844,"mặc dù không được tặng lưới tạo bọt nhưng vẫn cho 5 sao vì sản phẩm dùng rất tốt ạ, da sạch sâu, nhiều bọt lắm lắm luônn", Positive,,,,, Negative
845,"Có lưới tạo bọt tặng kèm nên nhanh gọn lẹ trong việc tạo bọt lắm, xài xong cảm giác vẫn còn độ ẩm trên da, mặc dù da mình hơi khô", Positive,,,,, Positive
846,"Sau khi thử nhiều loại sản phẩm srm thì Senka là srm hợp với mình nhất, bọt mịn, sạch sâu và giảm mụn hiệu quả.", Positive,,,,,
847,"hàng đóng gói rất cẩn thận, giao  hàng nhanh. riêng sữa rửa mặt rửa rất thích, mùi dễ chịu và không bị khô da", Positive,, Positive, Positive,,
848,sản phẩm dùng rất thích! có mùi hương dịu nhẹ! không gây khô da sau khi sử dụng mà giá cả hợp lí nữa!, Positive, Positive,,,,
849,"sữa rửa mặt rất sạch, tạo nhiều bọt rất thích. Hơn nữa là rất tiết kiệm, chỉ cần nặn 1 chút xíu trên đầu ngón tay là có thể tạo rất nhiều bọt.", Positive,,,,,
850,Làm sạch rất tốt. Dùng hết 1 tuýp mặt có cải thiện. Có miếng tạo bọt nên mỗi lần lấy 1 ít cũng đã đủ nên dùng khá lâu mới hết., Positive,,,,,
851,"Đợt mình mua được tặng kèm thêm chai SRM loại 50g nữa. Nói chung hàng Nhật mình rất yên tâm, rửa xong không hề bết rít khó chịu, lại dịu nhẹ dễ dùng.", Positive,,,,, Positive
852,"Mình rất hài lòng về sản phẩm này. Rửa mát da cảm giác sạch. Hồi mua còn dc tặng 1 hộp 40g nữa. Sẽ ủng hộ sản phẩm dài dài. Tiki thì giao hàng nhanh,  cẩn thận", Positive,, Positive,,,
853,"srm phù hợp cho da nhờn, dầu và hỗn hợp thiên dầu, rửa xong không bị rít da và khá dịu nhẹ. Vì độ pH khá cao nên các bạn da khô xem xét nhé", Positive,,,,,
854,"Mình hài lòng với chất lượng sản phẩm, Tiki giao hàng chuẩn và giao hàng rất nhanh, điểm 10 cho chất lượng. Mình rất hài lòng và sẽ luôn ủng hộ tiki.", Positive,, Positive,,,
855,"Từ khi sử dụng sản phẩm thì thấy da sạch và hầu như là mình không có mụn , sản phẩm có nhiều bọt rửa rất đã , đi kèm với mùi dễ chịu . Một sản phẩm tuyệt vời ", Positive, Positive,,,,
856,"Sửa rửa mặt này tạo nhiều bọt, dùng với lưới tạo bọt cũng oki, nhẹ mặt, nhưng dùng xong hơi khô, mình thấy dùng cũng ổn :0)", Neutral,,,,,
857,"Mua khi có tặng kèm miếng tạo bọt. SRM bọt nhiều, khi thoa lên mặt có cảm giác mát và dễ chịu.", Positive,,,,, Positive
858,"sữa rửa mặt rất nhiều bọt, rửa cực kỳ thích, tông da cũng sáng lên chút. Da mình da thường rửa thì ko thấy bị khô.", Positive,,,,,
859,tạo đc nh bọt mà e chưa thấy có làm giảm mụn hay bớt thâm đc kh nữa ?, Neutral,,,,,
860,Mình sử dụng thấy mềm và mịn lắm nhé.k căng da như những loại trc mình dùg.còn trắng hay k thì dùng lâu mới rõ.mk ms dùng mấy ngày à, Positive,,,,,
861,"sữa rửa mặt senka tạo rất nhiều bọt, rửa xong cảm giác sạch nhưng không bị khô da.
Khi xài hết chắc chắn sẽ mua lại.", Positive,,,,,
862,"Da mình bị mụn ẩn và dầu , dùng SRM của hãng cực kì ưng . Không bị rát mà rửa xong cảm giác thoáng ,sạch . Bọt nhiều ơi là nhiều hahah", Positive,,,,,
863,"Mình mới mua cách đây mấy tháng , mình cảm thấy sản phẩm này sử dụng rất tốt, khi rửa mặt xong không bị bít ra, phù hợp với mọi loại da", Positive,,,,,
864,"sản phẩm rất tốt. sạch, không khô da, nên đánh bọt bông kĩ để dùng chuẩn nhất . đang dùng thù bị hack mất ?", Positive,,,,,
865,"sữa rửa mặt tạo bọt chiết xuất tơ tằm trắng senka perfect whip: dùng thích, nhiều bọt", Positive,,,,,
866,"Sản phẩm dùng rất thích, bọt mịn, đúng như tên tơ tằm. Mình rửa bằng cleansing pad của skinfood đã rất ok rồi, dùng mút tạo bọt đc tặng kèm còn thích hơn nữa", Positive,,,,,
867,"Da mình là hỗn hợp thiên dầu, dùng loại này khá hợp. Từ nay chuyển hẳn qua loại này luôn.", Positive,,,,,
868,Lần đầu mua em này là của shop khác xài rất thích khi thấy TiKi có bán em này và đã mua nhận được quà tặng giá lại rẻ hơn chổ khác rất ưng sản phẩm của TiKi, Positive,,,, Positive, Positive
869,"quá tuyệt vời, sữa rửa k bị quá khô da, mềm, lạu còn đc tặng thêm bông tạo bọt. tiki gia hàng nhanh và đóng gói cẩn thận. tin tưởng vào tiki", Positive,, Positive, Positive,,
870,"Rửa mặt xong rất nhẹ mặt, cảm giác sạch hơn mà da vẫn giữ được độ ẩm, mùi rất dễ chịu. Nói chung là cực kì ưng
Cảm ơn Tiki rất nhiều", Positive, Positive,,,,
871,"Tiki giao hàng nhanh, đóng gói hàng rất kĩ, sản phẩm tốt, rất sạch da, hạn chế ra dầu .", Positive,, Positive, Positive,,
872,"Tiki đóng gói cẩn thận. Rất ưng mua hàng ở tiki vì khâu vận chuyển nhanh gọn, chuyên nghiệp",,, Positive, Positive,,
873,"sản phẩm mùi dễ chịu, dùng xong da không bị nhờn. mình dùng cũng quen rồi mà chi phí thì quá hợp với mọi người", Positive, Positive,,, Positive,
874,"mình đã dùng 2 lọ này rồi, siêu thích siêu yêu. Các bạn da dầu hoặc da hỗn hợp nên thử nhé.", Positive,,,,,
875,"sữa rửa mặt xài rất tốt, da sau khi rửa sạch sâu nhưng vẫn đủ ẩm, mình rất thích sản phẩm này", Positive,,,,,
876,"Giá rẻ, Tiki giao hàng nhanh. Rửa mặt rất sạch, nghe nói srm này độ Ph cao nhưng chắc da mình là da siêu dầu nên không có cảm giác khô.", Positive,, Positive,, Positive,
877,"chỉ cần đổ một chút sữa ra lòng bàn tay , cho thêm chút nước xoa đều lên mặt , sản phẩm khá thơm , dễ chịu , rửa rất thích", Positive,,,,,
878,Mình order và nhận đc mail báo là sau khoảng 2-3 ngày sẽ nhận đc hàng vậy mà ngay chiều hôm sau đã có hàng. Nhanh bất ngờ luôn.Được tặng kèm,,, Positive,,, Positive
879,sữa rửa mặt rửa vô cùng thích.  không bọ nhờn hay quá rít sau khi rửa.  cảm giác da được cung cấp ẩm hơn.  rất đáng thử, Positive,,,,,
880,"giao hàng nhanh, đóng gói kỹ. mình mua đợt khuyến mãi giá rẻ hơn nhiều lại được quà tặng nữa chứ!!!",,, Positive, Positive, Positive,
881,"sữa rửa mặt cho nhiều bọt, dùng xong da mặt căng và mịn. Mình rất hài lòng với sản phẩm.", Positive,,,,,
882,"sửa rửa mặt dịu nhẹ cho da mặt , ko bị khô như pond do có nhiều pH . Tuýt lớn , xài đc lâu , ngoài ra còn đc tặng thêm 1 tuýt 40ml nữa ^^", Positive,,,,, Positive
883,"đóng gói rất rất kĩ...mở âu cả ngày mới hết, phục vụ rất hài lòng",,,, Positive,, Positive
884,"tạo bọt tốt,  giá cả phải chăng,  tốt cho loại da hỗn hợp thiên dầu,  da của mình đã giảm mụn nhiều", Positive,,,, Positive,
885,"Rất hài lòng, nhiều bọt và rất êm, nhưng không hiểu sau lần nay Tiki giao đến tận 5 ngày mới nhận đc hàng", Positive,, Negative,,,
886,"thơm , min , và tuyệt vời ko chỗ chê , nếu hết sẽ mua thêm , yêu tiki", Positive, Positive,,,,
887,"dùng sạch lại còn đc tặng kèm tạo bọt rất tuyệt, rất hợp với các bạn da dầu", Positive,,,,,
888,tạo bọt nhiều rửa mật xong cảm giác mịn và sạch highly recommend, Positive,,,,,
889,"Lần đầu mua hàng trên tiki, tiki giao hàng nhanh..đóng gói cẩn thận. Còn về sữa rửa mặt này thì mùi thơm nhẹ, dùng thích cực ?", Positive, Positive, Positive, Positive,,
890,"mình tưởng có quà tặng mà ko có  :(
chưa dùng nên chưa biêt nx ntn",,,,,, Negative
891,Sản phẩm dùng tốt. Đã mua đến lần thứ tư do Tiki hay giảm giá và tặng voucher :), Positive,,,,, Positive
892,"Bọt nhiều và siêu mịn, rửa mặt thích lắm luôn. Cảm giác mặt nhẹ đi sau khi rửa. Da sạch và sáng hơn.", Positive,,,,,
893,"sản phẩm rất tốt, ko khô da, giá cả bình dân mà còn là hàng Nhật nữa. Chắc mình sẽ trung thành với em này dài dài.", Positive,,,,,
894,Sử dụng sửa rửa mặt Senka đã lâu nên cực kỳ thích vì bọt nhiều rửa xong không cảm giác khô da. Cảm ơn Tiki :), Positive,,,,,
895,sản phẩm tốt. từ khi dùng mặt mình đỡ mụn đi hẳn. =))), Positive,,,,,
896,Đây là loại srm mình thích nhất từ trước đến giờ. Tạo bọt nhiều và mịn dùng rất thích mà không bị khô da, Positive,,,,,
897,"sản phẩm gói kĩ lưỡng, giao hàng nhanh. loại này tốt nhất mình từng sử dụng", Positive,, Positive, Positive,,
898,"sảm phẩm dùng rất thích, mùi thơm dễ chịu. Tiki đóng gói rất đẹp và cẩn thận. Sẽ còn ủng hộ Tiki dài dài", Positive, Positive,, Positive,,
899,Giao hang nhah sp dùng Ok còn có quà tang nên mk rat thik lần sau ủng hộ nua......???^^^^, Neutral,, Positive,,, Positive
900,"Lần thứ 3 mua sản phẩm này, không có gì để phàn nàn cả!",,,,,, Positive
901,"Sản phầm dùng rất thích, thơm nhé và không bị khô da. 
Chỉ là vỏ hơi bị xước một chút ạ", Positive,,,,, Neutral
902,"Mình sử dụng xong thì thấy da sạch sẽ, hết bụi bẩn, không còn bóng nhờn, thấy mặt mình thoáng mát nhẹ hẳn đi.", Positive,,,,,
903,Rất vui vì đợt này mua được hàng giá tốt. Date sử dụng còn dài. tiki giao hàng nhanh nữa,,, Positive,, Positive, Positive
904,"Mùi dễ chịu, tạo bọt nhiều giúp tiết kiệm, xài lâu hết, hợp với da dầu hơn. 
Tiki giao hàng rất tốt", Positive, Positive, Positive,,, Positive
905,"Sản phẩm tốt, rất hài lòng về sản phẩm. Tiki giao hàng nhanh, rất tiện lợi.", Positive,, Positive,,,
906,"mới đầu dùng không sao
Sau khi dùng được 5-6 ngày thì bị lên mụn
Chắc do từng loại da mặt", Negative,,,,,
907,"sản phẩm dùng rất thích, mềm dịu , nhiều bọt . tiki đóng gói giao hàng cẩn thận.", Positive,, Positive, Positive,,
908,"Không ăn nắng, nhẹ nhàng cho da, mùi cũng nhẹ chứ không thơm hay quá nồng là điểm cộng cho sản phẩm này.", Positive, Neutral,,,,
909,"Sản phẩm dùng cực thích, ko làm khô da. Giá rẻ mà hiệu quả", Positive,,,, Positive,
910,"nhiều bọt và sạch, rất ưng sản phẩm này của senka, sắm thêm em chống nắng là ok", Positive,,,,,
911,giao hàg nhanh chất lượng sản phẩm xài tốt không kích ứng da, Positive,, Positive,,,
912,"sản phẩm tạo nhiều bọt, sạch da, giá cả phù hợp, tuy nhiên dùng xong có cảm giác khô", Neutral,,,,,
913,Nói chung đặt hàng của tiki cái nào nhận cũng thấy hài lòng.,,,,,, Positive
914,"nói chung là ok. đóng gói kỹ, hàng thật, chất lượng.",,, Positive, Positive,, Neutral
